Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
96188d20-f207-49f7-87ed-232f2ce28698,78,Male,Property,199404.48,9,1,4938.65,1548.65,Medium
b10dbc6c-34e7-4077-97b1-e6edbe7df5b8,59,Female,Health,176640.64,10,0,965.64,1871.59,High
9d706bed-1286-483c-bbe6-7fe428503b5d,67,Female,Life,32602.94,10,0,3443.19,8890.63,Medium
bf439a80-eaa1-4ed9-a4ac-b72e6f24a59b,47,Female,Life,46505.87,0,1,1406.77,7506.02,Medium
42e65625-d1af-41f4-aad7-47c0b9b1a577,73,Female,Auto,124234.15,6,1,3571.81,2929.9,Medium
3089f086-37e5-4e0c-b8ee-4dbdc07f15f8,31,Other,Property,23411.02,2,0,4029.53,2550.55,Medium
0e5f878a-db7b-458d-b12e-910c8cc23807,63,Female,Auto,61738.94,10,0,1778.47,5384.31,High
ab8fdbcd-9e08-450c-a6ec-172fb3b2cba6,63,Other,Health,63476.02,8,1,4298.48,4636.33,High
d140d331-293d-49b9-816d-f4d76c461aa3,55,Female,Life,47552.7,10,0,600.39,4579.87,Low
c2833b07-1a5f-4a93-a3b1-183637f4dbf0,29,Other,Property,97456.48,1,1,578.53,2401.76,High
aa0244cd-19a2-4139-be3f-a870b6c5f5f3,42,Other,Health,75663.69,6,1,3105.46,6298.33,Medium
56ecd4f7-6a4a-47da-a1bd-13cab07f3433,48,Male,Auto,26596.38,8,1,4873.07,5065.72,Medium
5651a56c-53a7-43bc-a877-6f40b5830406,49,Female,Health,181728.83,5,0,905.07,2183.39,High
549b6b95-ce4c-4e0a-b0fd-5fcdd5dc10e5,22,Other,Health,26428.12,7,1,516.1,1520.87,Medium
b9e9ab94-e8e8-4d8e-a09a-202fe0adea43,55,Male,Life,92800.62,6,0,4078.22,7096.59,Low
613feb0c-0ff1-4fe1-b460-9e62d954c10f,32,Other,Auto,34795.53,7,0,4748.15,6412.88,Medium
ec5d4a40-7e9b-48cf-a29d-9cdf54bb7726,67,Male,Property,45717.3,0,1,3045.97,4669.02,Medium
fccdb126-73e6-4552-849e-3fec05bc2a82,57,Male,Auto,71103.91,4,1,4442.65,2825.26,High
620f4f5f-6c46-4f59-b672-af883a622d8f,59,Female,Life,157426.64,9,0,1661.2,6898.51,Low
73589133-a84a-46ad-8a78-03ef627fa237,71,Male,Property,121129.63,4,1,1626.9,6526.61,High
550c3456-cf2d-4889-9183-ea397160c602,44,Other,Property,157420.36,2,0,4693.22,3311.26,High
1974a812-abb2-439c-a9f7-e64317568790,60,Other,Property,102388.07,10,1,1039.67,4271.31,Medium
ca7d4a1a-5af9-4ec0-9e29-41b0fe2a9661,60,Female,Auto,176992.39,3,0,3121.15,2848.46,Medium
85cd8c2b-e6af-4f58-ae33-f230391d7441,42,Male,Property,85577.39,3,0,2992.84,1653.85,High
f612b948-27ee-46ee-bc9d-efec47f455a5,42,Other,Life,149813.84,0,0,554.84,1231.07,Medium
